C4 id x y z
1108.1642586813 0 1 0 0
1108.1642586813 0.027027027027027 1 0.027027027027027 0
1108.1642586813 0.054054054054054 1 0.054054054054054 0
1108.1642586813 0.081081081081081 1 0.081081081081081 0
1882.0207703672 0.10810810810811 1 0.10810810810811 0
1882.0207703672 0.13513513513514 1 0.13513513513514 0
1882.0207703672 0.16216216216216 1 0.16216216216216 0
1882.0207703672 0.18918918918919 1 0.18918918918919 0
2559.8524333378 0.21621621621622 1 0.21621621621622 0
2559.8524333378 0.24324324324324 1 0.24324324324324 0
2559.8524333378 0.27027027027027 1 0.27027027027027 0
2559.8524333378 0.2972972972973 1 0.2972972972973 0
3105.913713618 0.32432432432432 1 0.32432432432432 0
3105.913713618 0.35135135135135 1 0.35135135135135 0
3105.913713618 0.37837837837838 1 0.37837837837838 0
3509.6160229593 0.40540540540541 1 0.40540540540541 0
3509.6160229593 0.43243243243243 1 0.43243243243243 0
3509.6160229593 0.45945945945946 1 0.45945945945946 0
3509.6160229593 0.48648648648649 1 0.48648648648649 0
3777.6144485283 0.51351351351351 1 0.51351351351351 0
3777.6144485283 0.54054054054054 1 0.54054054054054 0
3777.6144485283 0.56756756756757 1 0.56756756756757 0
3777.6144485283 0.59459459459459 1 0.59459459459459 0
3937.6422336593 0.62162162162162 1 0.62162162162162 0
3937.6422336593 0.64864864864865 1 0.64864864864865 0
3937.6422336593 0.67567567567568 1 0.67567567567568 0
4012.0862109775 0.7027027027027 1 0.7027027027027 0
4012.0862109775 0.72972972972973 1 0.72972972972973 0
4012.0862109775 0.75675675675676 1 0.75675675675676 0
4012.0862109775 0.78378378378378 1 0.78378378378378 0
4034.015826236 0.81081081081081 1 0.81081081081081 0
4034.015826236 0.83783783783784 1 0.83783783783784 0
4034.015826236 0.86486486486486 1 0.86486486486486 0
4034.015826236 0.89189189189189 1 0.89189189189189 0
4024.9861513764 0.91891891891892 1 0.91891891891892 0
4024.9861513764 0.94594594594595 1 0.94594594594595 0
4024.9861513764 0.97297297297297 1 0.97297297297297 0
4024.9861513764 1 1 1 0
4003.6660158886 1.027027027027 1 1.027027027027 0
4003.6660158886 1.0540540540541 1 1.0540540540541 0
4003.6660158886 1.0810810810811 1 1.0810810810811 0
3988.0035388833 1.1081081081081 1 1.1081081081081 0
3988.0035388833 1.1351351351351 1 1.1351351351351 0
3988.0035388833 1.1621621621622 1 1.1621621621622 0
3988.0035388833 1.1891891891892 1 1.1891891891892 0
3988.9360824256 1.2162162162162 1 1.2162162162162 0
3988.9360824256 1.2432432432432 1 1.2432432432432 0
3988.9360824256 1.2702702702703 1 1.2702702702703 0
3988.9360824256 1.2972972972973 1 1.2972972972973 0
4007.0592265427 1.3243243243243 1 1.3243243243243 0
4007.0592265427 1.3513513513514 1 1.3513513513514 0
4007.0592265427 1.3783783783784 1 1.3783783783784 0
4032.8227706482 1.4054054054054 1 1.4054054054054 0
4032.8227706482 1.4324324324324 1 1.4324324324324 0
4032.8227706482 1.4594594594595 1 1.4594594594595 0
4032.8227706482 1.4864864864865 1 1.4864864864865 0
4004.7375768174 1.5135135135135 1 1.5135135135135 0
4004.7375768174 1.5405405405405 1 1.5405405405405 0
4004.7375768174 1.5675675675676 1 1.5675675675676 0
4004.7375768174 1.5945945945946 1 1.5945945945946 0
3874.739487792 1.6216216216216 1 1.6216216216216 0
3874.739487792 1.6486486486486 1 1.6486486486486 0
3874.739487792 1.6756756756757 1 1.6756756756757 0
3596.5501357756 1.7027027027027 1 1.7027027027027 0
3596.5501357756 1.7297297297297 1 1.7297297297297 0
3596.5501357756 1.7567567567568 1 1.7567567567568 0
3596.5501357756 1.7837837837838 1 1.7837837837838 0
3068.8762442324 1.8108108108108 1 1.8108108108108 0
3068.8762442324 1.8378378378378 1 1.8378378378378 0
3068.8762442324 1.8648648648649 1 1.8648648648649 0
3068.8762442324 1.8918918918919 1 1.8918918918919 0
2043.3217110686 1.9189189189189 1 1.9189189189189 0
2043.3217110686 1.9459459459459 1 1.9459459459459 0
2043.3217110686 1.972972972973 1 1.972972972973 0
2043.3217110686 2 1 2 0
