time,Mux(4)
0,1
0.0715036805904184,0.839604184431363
0.171503680590418,0.709660228821092
0.271503680590418,0.639939879231371
0.371503680590418,0.600948532353647
0.471503680590418,0.577798078623447
0.571503680590418,0.562955471190724
0.671503680590418,0.552586546143568
0.771503680590418,0.544720917956408
0.871503680590418,0.5383313793497
0.971503680590418,0.532871222660925
1,0.531439769674208
1.1,0.526753862990768
1.2,0.522492679369562
1.3,0.518566914080115
1.4,0.514918839932465
1.5,0.511508753135121
1.6,0.508307719145328
1.7,0.505293585585875
1.8,0.502448713834749
1.9,0.4997586324381
2,0.497211197874784
2.1,0.49479604397897
2.2,0.492504202386036
2.3,0.490327829097962
2.4,0.488260000178443
2.5,0.486294554651973
2.6,0.48442597101851
2.7,0.482649268559601
2.8,0.480959927441122
2.9,0.47935382337248
3,0.477827173720596
3.1,0.476376492748775
3.2,0.474998554194262
3.3,0.473690359794142
3.4,0.472449112664745
3.5,0.471272194664769
3.6,0.470157147046174
3.7,0.469101653832722
3.8,0.468103527472951
3.9,0.467160696399131
4,0.466271194191281
4.1,0.465433150099367
4.2,0.464644780720241
4.3,0.463904382660913
4.4,0.463210326048111
4.5,0.46256104876718
4.6,0.461955051332154
4.7,0.461390892304274
4.8,0.460867184188903
4.9,0.460382589751248
5,0.459935818700008
5.1,0.459525624695253
5.2,0.459150802643182
5.3,0.458810186244539
5.4,0.458502645769495
5.5,0.458227086033553
5.6,0.457982444553362
5.7,0.457767689863521
5.8,0.457581819977788
5.9,0.45742386098007
6,0.457292865732251
6.1,0.45718791268738
6.2,0.457108104798027
6.3,0.457052568510705
6.4,0.45702045283824
6.5,0.45701092850284
6.6,0.457023187143338
6.7,0.457056440580757
6.8,0.457109920136946
6.9,0.45718287600154
7,0.457274576642958
7.1,0.457384308259566
7.2,0.457511374267509
7.3,0.457655094822023
7.4,0.457814806369347
7.5,0.457989861226595
7.6,0.458179627187224
7.7,0.458383487149881
7.8,0.458600838768682
7.9,0.458831094123065
8,0.459073679405578
8.1,0.459328034626076
8.2,0.459593613330917
8.3,0.459869882335889
8.4,0.460156321471687
8.5,0.460452423340853
8.6,0.460757693085195
8.7,0.461071648162765
8.8,0.461393818133545
8.9,0.461723744453082
9,0.462060980273345
9.1,0.462405090250155
9.2,0.46275565035657
9.3,0.463112247701685
9.4,0.463474480354316
9.5,0.463841957171107
9.6,0.464214297628621
9.7,0.464591131659019
9.8,0.464972099488959
9.9,0.465356851481384
10,0.46574504797988
10.1,0.46613635915535
10.2,0.466530464854722
10.3,0.466927054451474
10.4,0.467325826697772
10.5,0.467726489578008
10.6,0.468128760163603
10.7,0.468532364468899
10.8,0.468937037308001
10.9,0.469342522152482
11,0.469748570989806
11.1,0.470154944182405
11.2,0.470561410327329
11.3,0.470967746116393
11.4,0.471373736196782
11.5,0.471779173032048
11.6,0.472183856763497
11.7,0.472587595071911
11.8,0.472990203039605
11.9,0.473391503012802
12,0.47379132446434
12.1,0.474189503856688
12.2,0.474585884505314
12.3,0.474980316442399
12.4,0.475372658654261
12.5,0.475762924502464
12.6,0.476152677034948
12.7,0.476546585576084
12.8,0.476951113618409
12.9,0.477372629377365
13,0.477816587922825
13.1,0.478287415249459
13.2,0.478788645376729
13.3,0.479323111739038
13.4,0.479893120966869
13.5,0.480500589166698
13.6,0.481147144173064
13.7,0.4818341999992
13.8,0.482563005716221
13.9,0.48333468124817
14,0.484150242715205
14.1,0.485010620473318
14.2,0.4859166721721
14.3,0.486869192401454
14.4,0.487868919980619
14.5,0.488916543593608
14.6,0.490012706242729
14.7,0.491158008837986
14.8,0.492353013138784
14.9,0.493598244197146
15,0.494894192407167
15.1,0.496241315235488
15.2,0.497640038687335
15.3,0.499090758548792
15.4,0.500593841436232
15.5,0.502149625677
15.6,0.50375842204046
15.7,0.505420514334881
15.8,0.507136159882934
15.9,0.508905589886515
16,0.510729009690055
16.1,0.512606598950214
16.2,0.51453851171897
16.3,0.516524876446311
16.4,0.518565795908171
16.5,0.520661347064807
16.6,0.522811580854396
16.7,0.5250165219264
16.8,0.527276138976422
16.9,0.529589852872871
17,0.531956324819346
17.1,0.534374015161271
17.2,0.536841514150759
17.3,0.539357642685013
17.4,0.541921442305427
17.5,0.54453213118287
17.6,0.54718905663802
17.7,0.549891654564366
17.8,0.552639417282859
17.9,0.555431871555117
18,0.558268560198248
18.1,0.561149030083127
18.2,0.56407282318397
18.3,0.567039470035907
18.4,0.57004848487943
18.5,0.573099361987418
18.6,0.576191572827039
18.7,0.579324563818756
18.8,0.582497754530221
18.9,0.58571053619447
19,0.588962270476821
19.1,0.592252288438656
19.2,0.595579889662429
19.3,0.598944341513344
19.4,0.602344878520744
19.5,0.605780701867587
19.6,0.609250978980122
19.7,0.612754843212509
19.8,0.616291393623011
19.9,0.61985969483978
20,0.623458777015171
20.1,0.627087635868273
20.2,0.630745232815776
20.3,0.634430495191646
20.4,0.638142316556245
20.5,0.641879557095677
20.6,0.64564104411208
20.7,0.64942557260559
20.8,0.65323190594856
20.9,0.657058776652459
21,0.660904887227657
21.1,0.664768911136069
21.2,0.668649493836369
21.3,0.672545253921138
21.4,0.676454784345013
21.5,0.680376653742552
21.6,0.684309407834143
21.7,0.68825157091792
