time A A1 A2 A3 A4 A5 A6 A7 A8 B C_int Calc_rho power_int lambda power_scalar
0 8107.9929893631 237.2518526484 1094.0264256001 735.78502179301 1585.5950679806 2619.4746843091 821.73151937877 794.90480596134 219.2236116919 0.53006187626819 22411.98079377 0 0.84797433229822 0 1.1969272022924
0.019894367886487 8102.0877319447 237.24680618787 1093.9669182561 735.72469040444 1585.2102492581 2618.1591436434 820.84153019927 792.8790146884 218.05937930709 0.53006187626819 22411.633159648 -0.0010738436840857 1.1034413566513 6.4847041846095e-15 1.1969272022924
0.039788735772974 8106.1987999382 237.25199001247 1094.0102453957 735.7664139886 1585.4698485506 2619.0469640863 821.44732928997 794.29370544419 218.9123031705 0.53006187626819 22412.041996267 -0.0010778808145213 1.2636523532709 7.0449994846375e-15 1.3707116076027
0.059683103659461 8110.2903227179 237.25727208845 1094.0545475643 735.80909331217 1585.7349973752 2619.9508789467 822.05952585384 795.69640179685 219.72760578045 0.53006187626819 22412.458074339 -0.0010818987512639 1.2652076487452 1.8470956996808e-14 1.3723986709428
0.079577471545948 8114.3182035959 237.26260386298 1094.0993361729 735.85224317982 1586.0026251584 2620.8603692752 822.67099198906 797.07146189084 220.49857206673 0.53006187626819 22412.877804811 -0.0010858541907042 1.2660031217305 -4.5603360311003e-15 1.3732615380531
0.099471839432435 8118.3050086917 237.26800489481 1094.144807308 735.89605788222 1586.273951756 2621.7795873196 823.28456618236 798.42619726175 221.23183608693 0.53006187626819 22413.302630405 -0.0010897692931104 1.2671043716971 -9.0764342293944e-15 1.3744560882062
0.11936620731892 8122.2724560037 237.27349465777 1094.1911560947 735.94073066918 1586.5501874549 2622.712637191 823.90303220672 799.76764795773 221.93356977176 0.53006187626819 22413.73398431 -0.0010936653858825 1.2685094552399 1.6129766112005e-14 1.3759802133477
0.13926057520541 8126.2408219712 237.27909187609 1094.2385700067 735.98644711079 1586.8324912518 2623.6634334118 824.52902448811 801.10237465478 222.60938917111 0.53006187626819 22414.173241745 -0.0010975623807881 1.2702061690332 -1.348520635131e-15 1.3778206762608
0.1591549430919 8130.2288110094 237.28481432639 1094.2872268825 736.0333831339 1587.1219586764 2624.6356604031 825.16500216352 802.43641053448 223.26435488919 0.53006187626819 22414.621705826 -0.0011014786458434 1.2721793130877 -2.3089047549006e-14 1.3799609891815
0.17904931097838 8134.2534364945 237.29067864963 1094.3372930461 736.08170316613 1587.4196103149 2625.6327343864 825.81322488204 803.7752177867 223.90297426261 0.53006187626819 22415.080594124 -0.0011054308884391 1.2744108358674 -1.8363580134068e-14 1.3823815712102
0.19894367886487 8138.3299109058 237.29670017053 1094.3889215082 736.13155835985 1587.7263808629 2626.65776718 826.47573003025 805.12364797374 224.52920482033 0.53006187626819 22415.55102577 -0.0011094340474581 1.2768799513377 -2.3906161320556e-14 1.385059875276
0.21883804675136 8142.4715462121 237.30289272604 1094.4422502576 736.18308490807 1588.0431087815 2627.7135321522 827.15431156359 806.48590660755 225.14645921553 0.53006187626819 22416.034009236 -0.0011135011954535 1.2795632789138 -1.983120592696e-16 1.3879705399427
0.23873241463784 8146.6896657134 237.30926850418 1094.4974006609 736.23640246726 1588.3705266473 2628.8024326434 827.85050064512 807.8655223185 225.75761182675 0.53006187626819 22416.530430885 -0.0011176434520755 1.2824350078348 -2.4785013850356e-14 1.3910855677079
0.25862678252433 8150.9935286466 237.31583789531 1094.5544759851 736.29161270397 1588.7092523009 2629.9264731966 828.56554830923 809.26532102117 226.36500723428 0.53006187626819 22417.04104443 -0.0011218699100339 1.2854670877058 -5.1356584027514e-15 1.3943745316888
0.27852115041082 8155.3902689443 237.32260935748 1094.613560064 736.34879798329 1589.0597809018 2631.0872339649 829.3004103818 810.68740550632 226.97047078463 0.53006187626819 22417.566461425 -0.0011261875749573 1.2886294469212 2.493703942917e-15 1.397804812551
0.2984155182973 8159.8848495277 237.32958929782 1094.6747161251 736.40802021731 1589.4224780032 2632.2858486636 830.05573488936 812.13314088377 227.57532144751 0.53006187626819 22418.10714292 -0.001130601320509 1.2918902393828 2.177668032001e-15 1.4013418661287
0.31830988618379 8164.4800335268 237.33678197182 1094.7379857962 736.46931989225 1589.7975737613 2633.5229864468 830.83185219297 813.60314630155 228.18038716389 0.53006187626819 22418.663392423 -0.0011351138601238 1.2952161201826 2.7264832015689e-15 1.404949522464
0.33820425407028 8169.1763737679 237.34418940253 1094.803388312 736.53271529277 1590.1851583912 2634.7988380777 831.62876807693 815.09729334741 228.78602286737 0.53006187626819 22419.235350301 -0.0011397257366857 1.2985725499809 1.0630793295656e-14 1.4085903159723
0.35809862195676 8173.9722217501 237.3518113212 1094.8709199353 736.59820194079 1590.5851789769 2636.1131067444 832.44616000559 816.61471149461 229.39213133128 0.53006187626819 22419.822989748 -0.0011444353313419 1.3019241265804 2.4084660877812e-14 1.4122258451088
0.37799298984325 8178.8637572188 237.35964513127 1094.9405536134 736.66575226537 1590.997437736 2637.4650038463 833.28337674596 818.15380091358 229.99818696685 0.53006187626819 22420.426114434 -0.0011492388925452 1.3052349423439 -1.1743956025642e-14 1.4158171600665
0.39788735772974 8183.8450392032 237.36768589711 1095.0122388801 736.73531551786 1591.4215918257 2638.8532500307 834.13944151846 819.71225288626 230.60326264708 0.53006187626819 22421.044357962 -0.0011541305861731 1.3084689639078 1.0965604130472e-14 1.4193251746604
