"A","A1","A2","A3","A4","A5","A6","A7","A8","B","C_int","lambda","power_int","power_scalar","Time"
-1.375e+05,-91.34,-2004.9,-2260.4,-15839,-50726,-27378,-33483,-5719.2,0.57627,-5201.9,-7.3088e-14,-0.68712,-0.68557,5.4312
-1.3459e+05,-89.6,-1986.7,-2241.7,-15698,-50133,-26864,-32254,-5319.7,0.57627,-5203.8,-3.0522e-14,-0.67929,-0.67776,5.4511
-1.3175e+05,-87.857,-1968.4,-2223,-15557,-49542,-26358,-31068,-4948.2,0.57627,-5205.7,5.8172e-15,-0.67165,-0.67013,5.471
-1.29e+05,-86.12,-1950.2,-2204.3,-15418,-48956,-25860,-29924,-4602.7,0.57627,-5207.5,7.0939e-14,-0.66419,-0.66269,5.4908
-1.2633e+05,-84.393,-1932.1,-2185.7,-15278,-48376,-25371,-28821,-4281.7,0.57627,-5209.3,4.7288e-14,-0.65688,-0.6554,5.5107
-1.2374e+05,-82.683,-1914.1,-2167.2,-15140,-47802,-24890,-27759,-3983.4,0.57627,-5211.1,2.2599e-14,-0.64973,-0.64826,5.5306
-1.2123e+05,-80.995,-1896.4,-2149,-15004,-47235,-24419,-26736,-3706.2,0.57627,-5212.8,5.4327e-14,-0.64271,-0.64126,5.5505
-1.1879e+05,-79.334,-1878.9,-2131,-14869,-46677,-23958,-25751,-3448.8,0.57627,-5214.5,-4.8048e-14,-0.63581,-0.63438,5.5704
-1.1644e+05,-77.704,-1861.7,-2113.4,-14737,-46127,-23506,-24804,-3209.8,0.57627,-5216.2,2.4046e-14,-0.62903,-0.62762,5.5903
-1.1416e+05,-76.109,-1844.9,-2096,-14606,-45587,-23065,-23894,-2987.9,0.57627,-5217.9,1.3263e-14,-0.62236,-0.62096,5.6102
-1.1195e+05,-74.552,-1828.4,-2079.1,-14479,-45058,-22633,-23019,-2781.9,0.57627,-5219.5,-3.0021e-14,-0.61579,-0.61441,5.6301
-1.0982e+05,-73.037,-1812.4,-2062.5,-14353,-44538,-22211,-22178,-2590.7,0.57627,-5221.1,2.3966e-14,-0.60932,-0.60795,5.65
-1.0776e+05,-71.564,-1796.7,-2046.4,-14231,-44030,-21800,-21370,-2413.3,0.57627,-5222.6,9.4504e-14,-0.60294,-0.60158,5.6699
-1.0577e+05,-70.137,-1781.6,-2030.7,-14111,-43532,-21399,-20594,-2248.6,0.57627,-5224.1,3.0428e-14,-0.59665,-0.59531,5.6898
-1.0384e+05,-68.756,-1766.8,-2015.4,-13995,-43046,-21007,-19849,-2095.8,0.57627,-5225.6,-4.6339e-14,-0.59045,-0.58912,5.7097
-1.0199e+05,-67.423,-1752.6,-2000.6,-13881,-42571,-20626,-19133,-1953.9,0.57627,-5227.1,-8.8767e-15,-0.58434,-0.58302,5.7296
-1.0019e+05,-66.137,-1738.8,-1986.4,-13771,-42107,-20255,-18446,-1822.3,0.57627,-5228.5,-6.1273e-14,-0.57831,-0.577,5.7495
-98460,-64.9,-1725.6,-1972.5,-13663,-41655,-19893,-17786,-1700.1,0.57627,-5229.9,2.7335e-14,-0.57237,-0.57107,5.7694
-96788,-63.71,-1712.8,-1959.2,-13559,-41214,-19540,-17153,-1586.6,0.57627,-5231.3,9.4856e-14,-0.56651,-0.56523,5.7893
-95173,-62.569,-1700.4,-1946.3,-13457,-40784,-19197,-16544,-1481.3,0.57627,-5232.7,-4.5829e-14,-0.56074,-0.55948,5.8092
-93614,-61.474,-1688.6,-1933.9,-13359,-40365,-18862,-15960,-1383.6,0.57627,-5234,-6.6156e-14,-0.55506,-0.55381,5.829
-92109,-60.426,-1677.2,-1922,-13263,-39957,-18537,-15400,-1292.8,0.57627,-5235.3,-1.2559e-13,-0.54948,-0.54824,5.8489
-90654,-59.423,-1666.3,-1910.5,-13171,-39559,-18219,-14861,-1208.5,0.57627,-5236.5,-3.7038e-14,-0.54398,-0.54276,5.8688
-89250,-58.464,-1655.8,-1899.5,-13081,-39171,-17910,-14343,-1130.2,0.57627,-5237.8,4.1825e-14,-0.53859,-0.53737,5.8887
-87892,-57.548,-1645.8,-1888.9,-12994,-38793,-17609,-13846,-1057.4,0.57627,-5239,-2.1836e-15,-0.53329,-0.53209,5.9086
-86580,-56.673,-1636.1,-1878.7,-12910,-38425,-17316,-13369,-989.8,0.57627,-5240.2,-8.3577e-14,-0.5281,-0.52691,5.9285
-85312,-55.839,-1626.9,-1868.9,-12828,-38066,-17030,-12910,-926.97,0.57627,-5241.4,-1.677e-13,-0.52301,-0.52183,5.9484
-84085,-55.043,-1618.1,-1859.5,-12748,-37716,-16751,-12468,-868.56,0.57627,-5242.5,7.7926e-15,-0.51803,-0.51686,5.9683
-82899,-54.285,-1609.6,-1850.5,-12672,-37374,-16480,-12044,-814.25,0.57627,-5243.6,3.176e-14,-0.51316,-0.512,5.9882
-81750,-53.562,-1601.6,-1841.9,-12597,-37041,-16215,-11636,-763.75,0.57627,-5244.7,9.8634e-14,-0.5084,-0.50726,6.0081
-80638,-52.874,-1593.8,-1833.6,-12525,-36716,-15956,-11244,-716.78,0.57627,-5245.8,2.677e-14,-0.50376,-0.50263,6.028
-79561,-52.219,-1586.4,-1825.6,-12454,-36399,-15704,-10866,-673.08,0.57627,-5246.9,2.9071e-15,-0.49924,-0.49811,6.0479
-78517,-51.595,-1579.4,-1818,-12386,-36089,-15457,-10503,-632.41,0.57627,-5247.9,-9.1515e-15,-0.49483,-0.49372,6.0678
-77506,-51.002,-1572.6,-1810.6,-12320,-35787,-15217,-10153,-594.57,0.57627,-5248.9,3.6703e-15,-0.49055,-0.48944,6.0877
-76525,-50.437,-1566.1,-1803.6,-12256,-35491,-14982,-9816.8,-559.33,0.57627,-5249.9,-4.4102e-14,-0.48639,-0.48529,6.1076
-75573,-49.9,-1560,-1796.8,-12193,-35202,-14752,-9492.8,-526.53,0.57627,-5250.9,5.4808e-14,-0.48235,-0.48126,6.1275
-74650,-49.39,-1554.1,-1790.4,-12133,-34919,-14528,-9180.7,-495.97,0.57627,-5251.8,8.5165e-14,-0.47843,-0.47735,6.1474
-73753,-48.904,-1548.4,-1784.1,-12074,-34642,-14308,-8880,-467.52,0.57627,-5252.8,4.9277e-14,-0.47464,-0.47357,6.1673
-72882,-48.443,-1543,-1778.2,-12016,-34371,-14094,-8590.4,-441,0.57627,-5253.7,-9.8946e-15,-0.47097,-0.4699,6.1871
-72036,-48.006,-1537.8,-1772.4,-11960,-34106,-13884,-8311.3,-416.29,0.57627,-5254.6,6.2667e-15,-0.46742,-0.46636,6.207
-71214,-47.59,-1532.9,-1766.9,-11906,-33846,-13679,-8042.3,-393.27,0.57627,-5255.5,4.8345e-14,-0.46399,-0.46294,6.2269
-70414,-47.196,-1528.2,-1761.7,-11853,-33592,-13478,-7783,-371.8,0.57627,-5256.4,3.926e-14,-0.46068,-0.45964,6.2468
